,component,composite,composite_start,composite_end,component_fam,composite_fam,no_overlap_score,ch_composite,ch_component
0,sp|Q8NHM5|KDM2B_HUMAN,sp|Q9Y2K7|KDM2A_HUMAN,19,687,F611,F605,1.00,11,12
6555,sp|P17026|ZNF22_HUMAN,sp|Q6PDB4|ZN880_HUMAN,209,367,F2075,F348,1.00,19,10
6556,sp|P0CG23|ZN853_HUMAN,sp|Q6PDB4|ZN880_HUMAN,209,333,F2105,F348,1.00,19,7
6557,sp|Q6NSZ9|ZSC25_HUMAN,sp|Q6PDB4|ZN880_HUMAN,210,407,F2064,F348,1.00,19,7
6558,sp|Q9BUG6|ZSA5A_HUMAN,sp|Q6PDB4|ZN880_HUMAN,211,334,F1953,F348,1.00,19,19
6559,sp|P17028|ZNF24_HUMAN,sp|Q6PDB4|ZN880_HUMAN,214,322,F342,F348,1.00,19,18
6560,sp|Q96N95|ZN396_HUMAN,sp|Q6PDB4|ZN880_HUMAN,213,294,F342,F348,1.00,19,18
6561,sp|O95365|ZBT7A_HUMAN,sp|Q6PDB4|ZN880_HUMAN,213,316,F1776,F348,1.00,19,19
6562,sp|Q9NPC7|MYNN_HUMAN,sp|Q6PDB4|ZN880_HUMAN,214,432,F1783,F348,1.00,19,3
6563,sp|P17029|ZKSC1_HUMAN,sp|Q6PDB4|ZN880_HUMAN,219,420,F2003,F348,1.00,19,7
6564,sp|Q9H4T2|ZSC16_HUMAN,sp|Q6PDB4|ZN880_HUMAN,240,352,F341,F348,1.00,19,6
6565,sp|Q9UNY5|ZN232_HUMAN,sp|Q6PDB4|ZN880_HUMAN,227,379,F341,F348,1.00,19,17
6566,sp|Q96LW9|ZSC31_HUMAN,sp|Q6PDB4|ZN880_HUMAN,196,379,F341,F348,1.00,19,6
6567,sp|O15535|ZSC9_HUMAN,sp|Q6PDB4|ZN880_HUMAN,218,375,F341,F348,1.00,19,6
6568,sp|Q8N8C0|ZN781_HUMAN,sp|Q6PDB4|ZN880_HUMAN,227,340,F3377,F348,1.00,19,19
6569,sp|P52744|ZN138_HUMAN,sp|Q6PDB4|ZN880_HUMAN,235,417,F1963,F348,1.00,19,7
6570,sp|Q9NX65|ZSC32_HUMAN,sp|Q6PDB4|ZN880_HUMAN,237,402,F1985,F348,1.00,19,16
6571,sp|P98182|ZN200_HUMAN,sp|Q6PDB4|ZN880_HUMAN,240,376,F2081,F348,1.00,19,16
6572,sp|O75840|KLF7_HUMAN,sp|Q6PDB4|ZN880_HUMAN,245,318,F3488,F348,1.00,19,2
6573,sp|Q6ZT77|ZN826_HUMAN,sp|Q6PDB4|ZN880_HUMAN,247,323,F2062,F348,1.00,19,-1
6574,sp|P10073|ZSC22_HUMAN,sp|Q6PDB4|ZN880_HUMAN,261,486,F2056,F348,1.00,19,19
6575,sp|Q15940|ZNF67_HUMAN,sp|Q6PDB4|ZN880_HUMAN,281,463,F2050,F348,1.00,19,-1
6576,sp|Q9Y5A6|ZSC21_HUMAN,sp|Q6PDB4|ZN880_HUMAN,292,489,F1958,F348,1.00,19,7
6577,sp|Q15929|ZNF56_HUMAN,sp|Q6PDB4|ZN880_HUMAN,301,417,F2029,F348,1.00,19,-1
6578,sp|P17022|ZNF18_HUMAN,sp|Q6PDB4|ZN880_HUMAN,348,493,F1951,F348,1.00,19,17
6579,sp|P51815|ZN75D_HUMAN,sp|Q6PDB4|ZN880_HUMAN,375,514,F2015,F348,1.00,19,x
6580,sp|P17041|ZNF32_HUMAN,sp|Q6PDB4|ZN880_HUMAN,377,568,F3409,F348,1.00,19,10
6581,sp|Q9UDV7|ZN282_HUMAN,sp|Q6PDB4|ZN880_HUMAN,422,572,F1977,F348,1.00,19,7
6582,sp|P0C7X2|ZN688_HUMAN,sp|P17025|ZN182_HUMAN,22,82,F2111,F345,1.00,x,16
6583,sp|C9JBD0|KRBX1_HUMAN,sp|P17025|ZN182_HUMAN,22,80,F3228,F345,1.00,x,3
6584,sp|Q8NE65|ZN738_HUMAN,sp|P17025|ZN182_HUMAN,23,94,F3504,F345,1.00,x,19
6585,sp|Q7Z2F6|ZN720_HUMAN,sp|P17025|ZN182_HUMAN,25,85,F3231,F345,1.00,x,16
6586,sp|Q6NX49|ZN544_HUMAN,sp|P17025|ZN182_HUMAN,127,597,F2099,F345,1.00,x,19
6587,sp|Q6BEB4|SP5_HUMAN,sp|P17025|ZN182_HUMAN,239,316,F3123,F345,1.00,x,2
6588,sp|Q9UJN7|ZN391_HUMAN,sp|P17025|ZN182_HUMAN,240,511,F2112,F345,1.00,x,6
6589,sp|Q9Y5A6|ZSC21_HUMAN,sp|P17025|ZN182_HUMAN,244,455,F1958,F345,1.00,x,7
6590,sp|Q5VV52|ZN691_HUMAN,sp|P17025|ZN182_HUMAN,278,484,F1879,F345,1.00,x,1
6591,sp|Q9NW07|ZN358_HUMAN,sp|P17025|ZN182_HUMAN,288,538,F1949,F345,1.00,x,19
6592,sp|Q9H7X3|ZN696_HUMAN,sp|P17025|ZN182_HUMAN,288,539,F2071,F345,1.00,x,8
6593,sp|P17040|ZSC20_HUMAN,sp|P17025|ZN182_HUMAN,305,625,F1874,F345,1.00,x,1
6594,sp|Q9H963|ZN702_HUMAN,sp|P17025|ZN182_HUMAN,315,441,F1954,F345,1.00,x,-1
6595,sp|Q6NSZ9|ZSC25_HUMAN,sp|P17025|ZN182_HUMAN,316,513,F2064,F345,1.00,x,7
6596,sp|Q15697|ZN174_HUMAN,sp|P17025|ZN182_HUMAN,354,455,F2123,F345,1.00,x,16
6597,sp|O14771|ZN213_HUMAN,sp|P17025|ZN182_HUMAN,369,509,F1988,F345,1.00,x,16
6598,sp|P17026|ZNF22_HUMAN,sp|P17025|ZN182_HUMAN,372,529,F2075,F345,1.00,x,10
6599,sp|Q6ZT77|ZN826_HUMAN,sp|P17025|ZN182_HUMAN,381,458,F2062,F345,1.00,x,-1
6600,sp|Q9UDV7|ZN282_HUMAN,sp|P17025|ZN182_HUMAN,386,538,F1977,F345,1.00,x,7
6601,sp|P17041|ZNF32_HUMAN,sp|P17025|ZN182_HUMAN,427,619,F3409,F345,1.00,x,10
6602,sp|Q8N8C0|ZN781_HUMAN,sp|P17025|ZN182_HUMAN,448,558,F3377,F345,1.00,x,19
6603,sp|Q92670|ZN75C_HUMAN,sp|P17025|ZN182_HUMAN,475,620,F2015,F345,1.00,x,-1
6604,sp|Q6ZRF7|ZN818_HUMAN,sp|P17025|ZN182_HUMAN,489,539,F2059,F345,1.00,x,-1
6605,sp|Q15929|ZNF56_HUMAN,sp|P17025|ZN182_HUMAN,491,607,F2029,F345,1.00,x,-1
6606,sp|Q8N8Y5|ZFP41_HUMAN,sp|P17025|ZN182_HUMAN,495,625,F2028,F345,1.00,x,8
6607,sp|P17028|ZNF24_HUMAN,sp|P17025|ZN182_HUMAN,505,624,F342,F345,1.00,x,18
6608,sp|Q96N95|ZN396_HUMAN,sp|P17025|ZN182_HUMAN,537,625,F342,F345,1.00,x,18
6609,sp|Q8NE65|ZN738_HUMAN,sp|Q8N823|ZN611_HUMAN,21,66,F3504,F348,0.00,19,19
6610,sp|Q9BV97|ZN747_HUMAN,sp|Q8N823|ZN611_HUMAN,22,78,F3227,F348,0.00,19,16
6611,sp|Q8N8H1|ZN321_HUMAN,sp|Q8N823|ZN611_HUMAN,70,221,F3555,F348,0.00,19,-1
6612,sp|Q5TYW1|ZN658_HUMAN,sp|Q8N823|ZN611_HUMAN,209,705,F2147,F348,0.00,19,9
6613,sp|Q9H963|ZN702_HUMAN,sp|Q8N823|ZN611_HUMAN,226,381,F1954,F348,0.00,19,-1
6614,sp|O43309|ZSC12_HUMAN,sp|Q8N823|ZN611_HUMAN,313,632,F1976,F348,0.00,19,6
6615,sp|Q15940|ZNF67_HUMAN,sp|Q8N823|ZN611_HUMAN,334,511,F2050,F348,0.00,19,-1
6616,sp|P13682|ZNF35_HUMAN,sp|Q8N823|ZN611_HUMAN,362,675,F2117,F348,0.00,19,3
6617,sp|P52744|ZN138_HUMAN,sp|Q8N823|ZN611_HUMAN,365,547,F1963,F348,0.00,19,7
6618,sp|Q8N2I2|ZN619_HUMAN,sp|Q8N823|ZN611_HUMAN,370,648,F2012,F348,0.00,19,3
6619,sp|Q8N782|ZN525_HUMAN,sp|Q8N823|ZN611_HUMAN,439,631,F2106,F348,0.00,19,-1
6620,sp|O14771|ZN213_HUMAN,sp|Q8N823|ZN611_HUMAN,477,617,F1988,F348,0.00,19,16
6621,sp|Q6ZRF7|ZN818_HUMAN,sp|Q8N823|ZN611_HUMAN,485,535,F2059,F348,0.00,19,-1
6622,sp|Q15929|ZNF56_HUMAN,sp|Q8N823|ZN611_HUMAN,487,603,F2029,F348,0.00,19,-1
6623,sp|Q6NSZ9|ZSC25_HUMAN,sp|Q8N823|ZN611_HUMAN,508,705,F2064,F348,0.00,19,7
6624,sp|P0CG23|ZN853_HUMAN,sp|Q8N823|ZN611_HUMAN,509,649,F2105,F348,0.00,19,7
6625,sp|O60315|ZEB2_HUMAN,sp|Q8N823|ZN611_HUMAN,510,577,F715,F348,0.00,19,2
6626,sp|P37275|ZEB1_HUMAN,sp|Q8N823|ZN611_HUMAN,510,577,F1945,F348,0.00,19,10
6627,sp|Q9H4T2|ZSC16_HUMAN,sp|Q8N823|ZN611_HUMAN,538,650,F341,F348,0.00,19,6
6628,sp|Q9UNY5|ZN232_HUMAN,sp|Q8N823|ZN611_HUMAN,556,705,F341,F348,0.00,19,17
6629,sp|Q96LW9|ZSC31_HUMAN,sp|Q8N823|ZN611_HUMAN,521,705,F341,F348,0.00,19,6
6630,sp|O15535|ZSC9_HUMAN,sp|Q8N823|ZN611_HUMAN,562,701,F341,F348,0.00,19,6
6631,sp|Q15697|ZN174_HUMAN,sp|Q8N823|ZN611_HUMAN,556,647,F2123,F348,0.00,19,16
6632,sp|O60304|ZN500_HUMAN,sp|Q8N823|ZN611_HUMAN,560,702,F2043,F348,0.00,19,16
6633,sp|Q5EBM4|ZN542_HUMAN,sp|Q8N823|ZN611_HUMAN,624,694,F3478,F348,0.00,19,-1
6634,sp|Q6ZT77|ZN826_HUMAN,sp|Q8N823|ZN611_HUMAN,630,705,F2062,F348,0.00,19,-1
6635,sp|Q5JUW0|KRBX4_HUMAN,sp|Q86T29|ZN605_HUMAN,1,57,F3503,F345,1.00,12,x
6636,sp|Q13401|PM2P3_HUMAN,sp|Q86T29|ZN605_HUMAN,2,43,F3232,F345,1.00,12,-1
6637,sp|C9JBD0|KRBX1_HUMAN,sp|Q86T29|ZN605_HUMAN,3,45,F3228,F345,1.00,12,3
6638,sp|Q6ZQV5|ZN788_HUMAN,sp|Q86T29|ZN605_HUMAN,6,68,F3229,F345,1.00,12,-1
6639,sp|A8MQ14|ZN850_HUMAN,sp|Q86T29|ZN605_HUMAN,131,640,F553,F345,1.00,12,19
6640,sp|Q7Z3I7|ZN572_HUMAN,sp|Q86T29|ZN605_HUMAN,169,539,F2000,F345,1.00,12,8
6641,sp|Q9UJN7|ZN391_HUMAN,sp|Q86T29|ZN605_HUMAN,171,418,F2112,F345,1.00,12,6
6642,sp|Q9NQV7|PRDM9_HUMAN,sp|Q86T29|ZN605_HUMAN,173,537,F2002,F345,1.00,12,5
6643,sp|Q8N782|ZN525_HUMAN,sp|Q86T29|ZN605_HUMAN,182,374,F2106,F345,1.00,12,-1
6644,sp|Q15940|ZNF67_HUMAN,sp|Q86T29|ZN605_HUMAN,187,364,F2050,F345,1.00,12,-1
6645,sp|P17028|ZNF24_HUMAN,sp|Q86T29|ZN605_HUMAN,216,335,F342,F345,1.00,12,18
6646,sp|Q96N95|ZN396_HUMAN,sp|Q86T29|ZN605_HUMAN,164,279,F342,F345,1.00,12,18
6647,sp|Q9NX65|ZSC32_HUMAN,sp|Q86T29|ZN605_HUMAN,194,359,F1985,F345,1.00,12,16
6648,sp|Q8N2I2|ZN619_HUMAN,sp|Q86T29|ZN605_HUMAN,197,475,F2012,F345,1.00,12,3
6649,sp|Q92670|ZN75C_HUMAN,sp|Q86T29|ZN605_HUMAN,211,359,F2015,F345,1.00,12,-1
6650,sp|P0CG23|ZN853_HUMAN,sp|Q86T29|ZN605_HUMAN,224,383,F2105,F345,1.00,12,7
6651,sp|Q6ZS27|ZN662_HUMAN,sp|Q86T29|ZN605_HUMAN,238,479,F2084,F345,1.00,12,3
6652,sp|O60304|ZN500_HUMAN,sp|Q86T29|ZN605_HUMAN,247,389,F2043,F345,1.00,12,16
6653,sp|Q9H963|ZN702_HUMAN,sp|Q86T29|ZN605_HUMAN,250,376,F1954,F345,1.00,12,-1
6654,sp|Q15776|ZKSC8_HUMAN,sp|Q86T29|ZN605_HUMAN,222,475,F340,F345,1.00,12,6
6655,sp|Q8NF99|ZN397_HUMAN,sp|Q86T29|ZN605_HUMAN,390,641,F340,F345,1.00,12,18
6656,sp|Q86W11|ZSC30_HUMAN,sp|Q86T29|ZN605_HUMAN,289,500,F340,F345,1.00,12,18
6657,sp|Q5VV52|ZN691_HUMAN,sp|Q86T29|ZN605_HUMAN,325,531,F1879,F345,1.00,12,1
6658,sp|Q6ZRF7|ZN818_HUMAN,sp|Q86T29|ZN605_HUMAN,342,390,F2059,F345,1.00,12,-1
6659,sp|Q96N20|ZN75A_HUMAN,sp|Q86T29|ZN605_HUMAN,351,499,F2140,F345,1.00,12,16
6660,sp|Q9BRR0|ZKSC3_HUMAN,sp|Q86T29|ZN605_HUMAN,359,613,F2013,F345,1.00,12,6
6661,sp|P10075|GLI4_HUMAN,sp|Q86T29|ZN605_HUMAN,364,583,F2049,F345,1.00,12,8
6662,sp|Q7Z398|ZN550_HUMAN,sp|Q86T29|ZN605_HUMAN,382,612,F1320,F345,1.00,12,19
6663,sp|P17026|ZNF22_HUMAN,sp|Q86T29|ZN605_HUMAN,390,532,F2075,F345,1.00,12,10
6664,sp|Q9Y5A6|ZSC21_HUMAN,sp|Q86T29|ZN605_HUMAN,399,614,F1958,F345,1.00,12,7
6665,sp|Q15929|ZNF56_HUMAN,sp|Q86T29|ZN605_HUMAN,424,542,F2029,F345,1.00,12,-1
6666,sp|Q8N8C0|ZN781_HUMAN,sp|Q86T29|ZN605_HUMAN,435,549,F3377,F345,1.00,12,19
6667,sp|Q6ZT77|ZN826_HUMAN,sp|Q86T29|ZN605_HUMAN,456,532,F2062,F345,1.00,12,-1
6668,sp|O60315|ZEB2_HUMAN,sp|Q86T29|ZN605_HUMAN,477,542,F715,F345,1.00,12,2
6669,sp|P37275|ZEB1_HUMAN,sp|Q86T29|ZN605_HUMAN,477,542,F1945,F345,1.00,12,10
6670,sp|Q5EBM4|ZN542_HUMAN,sp|Q86T29|ZN605_HUMAN,535,604,F3478,F345,1.00,12,-1
6671,sp|Q5JUW0|KRBX4_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,11,76,F3503,F1994,1.00,2,x
6672,sp|Q7Z2F6|ZN720_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,14,75,F3231,F1994,1.00,2,16
6673,sp|Q8TF39|ZN483_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,117,415,F2068,F1994,1.00,2,9
6674,sp|Q9NX65|ZSC32_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,167,335,F1985,F1994,1.00,2,16
6675,sp|Q9UDV7|ZN282_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,175,309,F1977,F1994,1.00,2,7
6676,sp|Q6ZT77|ZN826_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,180,257,F2062,F1994,1.00,2,-1
6677,sp|O60304|ZN500_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,194,337,F2043,F1994,1.00,2,16
6678,sp|Q9H963|ZN702_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,198,322,F1954,F1994,1.00,2,-1
6679,sp|Q8N8Y5|ZFP41_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,198,312,F2028,F1994,1.00,2,8
6680,sp|Q8N8C0|ZN781_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,216,328,F3377,F1994,1.00,2,19
6681,sp|P17028|ZNF24_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,231,338,F342,F1994,1.00,2,18
6682,sp|Q9H4T2|ZSC16_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,201,313,F341,F1994,1.00,2,6
6683,sp|Q96LW9|ZSC31_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,224,396,F341,F1994,1.00,2,6
6684,sp|Q3MJ62|ZSC23_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,268,417,F341,F1994,1.00,2,6
6685,sp|O15535|ZSC9_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,253,392,F341,F1994,1.00,2,6
6686,sp|Q6ZRF7|ZN818_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,260,309,F2059,F1994,1.00,2,-1
6687,sp|Q7RTV3|ZN367_HUMAN,sp|Q9BSG1|ZNF2_HUMAN,340,403,F3375,F1994,1.00,2,9
6688,sp|Q5JUW0|KRBX4_HUMAN,sp|Q76KX8|ZN534_HUMAN,1,55,F3503,F348,1.00,19,x
6689,sp|Q9BV97|ZN747_HUMAN,sp|Q76KX8|ZN534_HUMAN,6,65,F3227,F348,1.00,19,16
6690,sp|Q05481|ZNF91_HUMAN,sp|Q76KX8|ZN534_HUMAN,130,674,F553,F348,1.00,19,19
6691,sp|Q8N2I2|ZN619_HUMAN,sp|Q76KX8|ZN534_HUMAN,210,506,F2012,F348,1.00,19,3
6692,sp|O43309|ZSC12_HUMAN,sp|Q76KX8|ZN534_HUMAN,224,546,F1976,F348,1.00,19,6
6693,sp|Q9H5H4|ZN768_HUMAN,sp|Q76KX8|ZN534_HUMAN,229,502,F1944,F348,1.00,19,16
6694,sp|Q9BSG1|ZNF2_HUMAN,sp|Q76KX8|ZN534_HUMAN,243,499,F1994,F348,1.00,19,2
6695,sp|Q16600|ZN239_HUMAN,sp|Q76KX8|ZN534_HUMAN,246,529,F2109,F348,1.00,19,10
6696,sp|O95201|ZN205_HUMAN,sp|Q76KX8|ZN534_HUMAN,254,502,F1975,F348,1.00,19,16
6697,sp|Q9BSK1|ZN577_HUMAN,sp|Q76KX8|ZN534_HUMAN,256,504,F2087,F348,1.00,19,19
6698,sp|Q8N8C0|ZN781_HUMAN,sp|Q76KX8|ZN534_HUMAN,267,380,F3377,F348,1.00,19,19
6699,sp|Q6ZTB9|ZN833_HUMAN,sp|Q76KX8|ZN534_HUMAN,276,453,F1997,F348,1.00,19,-1
6700,sp|P10073|ZSC22_HUMAN,sp|Q76KX8|ZN534_HUMAN,276,501,F2056,F348,1.00,19,19
6701,sp|Q15929|ZNF56_HUMAN,sp|Q76KX8|ZN534_HUMAN,288,404,F2029,F348,1.00,19,-1
6702,sp|Q8N988|ZN557_HUMAN,sp|Q76KX8|ZN534_HUMAN,274,557,F2104,F348,1.00,19,19
6703,sp|Q96NG5|ZN558_HUMAN,sp|Q76KX8|ZN534_HUMAN,305,557,F2104,F348,1.00,19,19
6704,sp|Q6ZT77|ZN826_HUMAN,sp|Q76KX8|ZN534_HUMAN,290,366,F2062,F348,1.00,19,-1
6705,sp|Q15940|ZNF67_HUMAN,sp|Q76KX8|ZN534_HUMAN,299,480,F2050,F348,1.00,19,-1
6706,sp|Q6P9G9|ZN449_HUMAN,sp|Q76KX8|ZN534_HUMAN,301,501,F2057,F348,1.00,19,x
6707,sp|Q9UDV7|ZN282_HUMAN,sp|Q76KX8|ZN534_HUMAN,309,447,F1977,F348,1.00,19,7
6708,sp|Q15776|ZKSC8_HUMAN,sp|Q76KX8|ZN534_HUMAN,261,566,F340,F348,1.00,19,6
6709,sp|Q8NF99|ZN397_HUMAN,sp|Q76KX8|ZN534_HUMAN,347,670,F340,F348,1.00,19,18
6710,sp|Q86W11|ZSC30_HUMAN,sp|Q76KX8|ZN534_HUMAN,414,644,F340,F348,1.00,19,18
6711,sp|Q9Y5A6|ZSC21_HUMAN,sp|Q76KX8|ZN534_HUMAN,363,560,F1958,F348,1.00,19,7
6712,sp|Q9NX65|ZSC32_HUMAN,sp|Q76KX8|ZN534_HUMAN,372,557,F1985,F348,1.00,19,16
6713,sp|P10075|GLI4_HUMAN,sp|Q76KX8|ZN534_HUMAN,391,585,F2049,F348,1.00,19,8
6714,sp|P51815|ZN75D_HUMAN,sp|Q76KX8|ZN534_HUMAN,413,557,F2015,F348,1.00,19,x
6715,sp|P49910|ZN165_HUMAN,sp|Q76KX8|ZN534_HUMAN,428,618,F2077,F348,1.00,19,6
6716,sp|Q8IWY8|ZSC29_HUMAN,sp|Q76KX8|ZN534_HUMAN,447,642,F2032,F348,1.00,19,15
6717,sp|P52743|ZN137_HUMAN,sp|Q76KX8|ZN534_HUMAN,458,641,F2106,F348,1.00,19,-1
6718,sp|Q8N782|ZN525_HUMAN,sp|Q76KX8|ZN534_HUMAN,464,657,F2106,F348,1.00,19,-1
6719,sp|Q6ZRF7|ZN818_HUMAN,sp|Q76KX8|ZN534_HUMAN,482,545,F2059,F348,1.00,19,-1
6720,sp|O14771|ZN213_HUMAN,sp|Q76KX8|ZN534_HUMAN,502,642,F1988,F348,1.00,19,16
6721,sp|Q15697|ZN174_HUMAN,sp|Q76KX8|ZN534_HUMAN,525,616,F2123,F348,1.00,19,16
6722,sp|O75840|KLF7_HUMAN,sp|Q76KX8|ZN534_HUMAN,538,613,F3488,F348,1.00,19,2
6723,sp|Q7Z2F6|ZN720_HUMAN,sp|Q6ECI4|ZN470_HUMAN,20,96,F3231,F345,1.00,19,16
6724,sp|Q8NE65|ZN738_HUMAN,sp|Q6ECI4|ZN470_HUMAN,21,85,F3504,F345,1.00,19,19
6725,sp|Q9UJW7|ZN229_HUMAN,sp|Q6ECI4|ZN470_HUMAN,191,703,F2030,F345,1.00,19,19
6726,sp|P17028|ZNF24_HUMAN,sp|Q6ECI4|ZN470_HUMAN,219,338,F342,F345,1.00,19,18
6727,sp|Q6P1L6|ZN343_HUMAN,sp|Q6ECI4|ZN470_HUMAN,225,559,F2078,F345,1.00,19,20
6728,sp|Q7RTV3|ZN367_HUMAN,sp|Q6ECI4|ZN470_HUMAN,228,290,F3375,F345,1.00,19,9
6729,sp|P0CG23|ZN853_HUMAN,sp|Q6ECI4|ZN470_HUMAN,253,391,F2105,F345,1.00,19,7
6730,sp|Q9H7X3|ZN696_HUMAN,sp|Q6ECI4|ZN470_HUMAN,254,506,F2071,F345,1.00,19,8
6731,sp|Q6ZRF7|ZN818_HUMAN,sp|Q6ECI4|ZN470_HUMAN,261,309,F2059,F345,1.00,19,-1
6732,sp|Q9UIH9|KLF15_HUMAN,sp|Q6ECI4|ZN470_HUMAN,261,334,F3477,F345,1.00,19,3
6733,sp|Q86UD4|ZN329_HUMAN,sp|Q6ECI4|ZN470_HUMAN,271,705,F2143,F345,1.00,19,19
6734,sp|Q7Z7L9|ZSCA2_HUMAN,sp|Q6ECI4|ZN470_HUMAN,290,702,F1995,F345,1.00,19,15
6735,sp|Q9P0L1|ZKSC7_HUMAN,sp|Q6ECI4|ZN470_HUMAN,328,711,F2074,F345,1.00,19,3
6736,sp|Q6NSZ9|ZSC25_HUMAN,sp|Q6ECI4|ZN470_HUMAN,366,564,F2064,F345,1.00,19,7
6737,sp|P17022|ZNF18_HUMAN,sp|Q6ECI4|ZN470_HUMAN,370,510,F1951,F345,1.00,19,17
6738,sp|P49910|ZN165_HUMAN,sp|Q6ECI4|ZN470_HUMAN,373,562,F2077,F345,1.00,19,6
6739,sp|Q6ZTB9|ZN833_HUMAN,sp|Q6ECI4|ZN470_HUMAN,391,567,F1997,F345,1.00,19,-1
6740,sp|A6NGD5|ZSA5C_HUMAN,sp|Q6ECI4|ZN470_HUMAN,424,559,F1953,F345,1.00,19,19
6741,sp|Q9BUG6|ZSA5A_HUMAN,sp|Q6ECI4|ZN470_HUMAN,424,559,F1953,F345,1.00,19,19
6742,sp|P0CG00|ZSA5D_HUMAN,sp|Q6ECI4|ZN470_HUMAN,396,540,F1953,F345,1.00,19,-1
6743,sp|O95365|ZBT7A_HUMAN,sp|Q6ECI4|ZN470_HUMAN,426,529,F1776,F345,1.00,19,19
6744,sp|Q8N8C0|ZN781_HUMAN,sp|Q6ECI4|ZN470_HUMAN,440,553,F3377,F345,1.00,19,19
6745,sp|Q15929|ZNF56_HUMAN,sp|Q6ECI4|ZN470_HUMAN,457,574,F2029,F345,1.00,19,-1
6746,sp|Q9NX65|ZSC32_HUMAN,sp|Q6ECI4|ZN470_HUMAN,514,709,F1985,F345,1.00,19,16
6747,sp|O60304|ZN500_HUMAN,sp|Q6ECI4|ZN470_HUMAN,559,705,F2043,F345,1.00,19,16
6748,sp|Q8N2A0|CX062_HUMAN,sp|Q9NV72|ZN701_HUMAN,2,41,F2652,F348,0.33,19,-1
6749,sp|Q13401|PM2P3_HUMAN,sp|Q9NV72|ZN701_HUMAN,67,113,F3232,F348,0.33,19,-1
6750,sp|Q5JUW0|KRBX4_HUMAN,sp|Q9NV72|ZN701_HUMAN,67,113,F3503,F348,0.33,19,x
6751,sp|Q8NE65|ZN738_HUMAN,sp|Q9NV72|ZN701_HUMAN,71,113,F3504,F348,0.33,19,19
6752,sp|Q9BV97|ZN747_HUMAN,sp|Q9NV72|ZN701_HUMAN,72,128,F3227,F348,0.33,19,16
6753,sp|Q7Z2F6|ZN720_HUMAN,sp|Q9NV72|ZN701_HUMAN,72,113,F3231,F348,0.33,19,16
6754,sp|Q8N8H1|ZN321_HUMAN,sp|Q9NV72|ZN701_HUMAN,120,271,F3555,F348,0.33,19,-1
6755,sp|Q8N883|ZN614_HUMAN,sp|Q9NV72|ZN701_HUMAN,254,530,F346,F348,0.33,19,19
6756,sp|Q9H963|ZN702_HUMAN,sp|Q9NV72|ZN701_HUMAN,277,403,F1954,F348,0.33,19,-1
6757,sp|Q5EBM4|ZN542_HUMAN,sp|Q9NV72|ZN701_HUMAN,337,407,F3478,F348,0.33,19,-1
6758,sp|Q6ZT77|ZN826_HUMAN,sp|Q9NV72|ZN701_HUMAN,343,419,F2062,F348,0.33,19,-1
6759,sp|O75840|KLF7_HUMAN,sp|Q9NV72|ZN701_HUMAN,367,438,F3488,F348,0.33,19,2
6760,sp|Q99612|KLF6_HUMAN,sp|Q9NV72|ZN701_HUMAN,367,442,F3491,F348,0.33,19,10
6761,sp|Q9Y4X4|KLF12_HUMAN,sp|Q9NV72|ZN701_HUMAN,369,438,F3366,F348,0.33,19,13
6762,sp|P57682|KLF3_HUMAN,sp|Q9NV72|ZN701_HUMAN,369,438,F3367,F348,0.33,19,4
6763,sp|Q13887|KLF5_HUMAN,sp|Q9NV72|ZN701_HUMAN,369,438,F3372,F348,0.33,19,13
6764,sp|Q8WTZ3|YS049_HUMAN,sp|Q9NV72|ZN701_HUMAN,385,457,F2649,F348,0.33,19,-1
6765,sp|P17028|ZNF24_HUMAN,sp|Q9NV72|ZN701_HUMAN,336,446,F342,F348,0.33,19,18
6766,sp|Q96N95|ZN396_HUMAN,sp|Q9NV72|ZN701_HUMAN,443,530,F342,F348,0.33,19,18
6767,sp|Q6ZRF7|ZN818_HUMAN,sp|Q9NV72|ZN701_HUMAN,424,473,F2059,F348,0.33,19,-1
6768,sp|Q6R2W3|SCND3_HUMAN,sp|Q9BRR0|ZKSC3_HUMAN,10,182,F1929,F2013,1.00,6,6
6769,sp|P57086|SCND1_HUMAN,sp|Q9BRR0|ZKSC3_HUMAN,35,99,F3560,F2013,1.00,6,20
6770,sp|Q8TBC5|ZSC18_HUMAN,sp|Q9BRR0|ZKSC3_HUMAN,43,132,F2082,F2013,1.00,6,19
6771,sp|Q05481|ZNF91_HUMAN,sp|Q9BRR0|ZKSC3_HUMAN,273,531,F553,F2013,1.00,6,19
